Dénomination,Voies d'admninistration,Autorisation,,
VERAPAMIL TEVA L. P. 240 mg,gélule à libération prolongée,orale,,
VERAPAMIL VIATRIS 120 mg,gélule,orale,,
VERAPAMIL VIATRIS LP 240 mg,comprimé pelliculé sécable à libération prolongée,orale,,
VERATRAN 10 mg,comprimé sécable,orale,,
VERATRAN 5 mg,comprimé,orale,,
VERATRUM ALBUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERATRUM ALBUM, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH, crème et solution et granules et poudre et pommade,,
VERATRUM VIRIDE LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERBASCUM THAPSUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERBASCUM THAPSUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERCYTE 25 mg,comprimé,orale,,
VERONICA OFFICINALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERONICA OFFICINALIS, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH, crème et solution et granules et poudre et pommade,,
VERRUFILM,solution pour application,cutanée,,
VERRULIA,comprimé à sucer,orale,,
VERSATIS 700 mg,emplâtre médicamenteux(se),cutanée,,
VERTEBRA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERTEBRES CERVICALES BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERTEBRES DORSALES BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERTEBRES LOMBAIRES BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VERZENIOS 100 mg,comprimé pelliculé,orale,,
VERZENIOS 150 mg,comprimé pelliculé,orale,,
VERZENIOS 50 mg,comprimé pelliculé,orale,,
VESANOID 10 mg,capsule molle,orale,,
VESICARE 1 mg/ml,suspension buvable,orale,,
VESICARE 10 mg,comprimé pelliculé,orale,,
VESICARE 5 mg,comprimé pelliculé,orale,,
VESICULE BILIAIRE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VESPA CRABRO WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
VESSIE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIABORPAX,comprimé orodispersible,sublinguale,,
VIAGRA 100 mg,comprimé pelliculé,orale,,
VIAGRA 25 mg,comprimé pelliculé,orale,,
VIAGRA 50 mg,comprimé pelliculé,orale,,
VIBURNUM OPULUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIBURNUM PRUNIFOLIUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VICKS INHALER,tampon imprégné(e) pour inhalation par fumigation,inhalée,,
VICKS VAPORUB,pommade,cutanée/inhalée,,
VICTAN 2 mg,comprimé pelliculé sécable,orale,,
VICTOZA 6 mg/ml,solution injectable,sous-cutanée,,
VIDAZA 25 mg/ml poudre pour suspension injectable,sous-cutanée,Autorisation active,,
VIDPREVTYN BETA,solution et  émulsion pour émulsion injectable,intramusculaire,,
VILDAGLIPTINE ARROW 50 mg,comprimé,orale,,
VILDAGLIPTINE BIOGARAN 50 mg,comprimé pelliculé,orale,,
VILDAGLIPTINE EG 50 mg,comprimé,orale,,
VILDAGLIPTINE SANDOZ 50 mg,comprimé,orale,,
VILDAGLIPTINE TEVA 50 mg,comprimé,orale,,
VILDAGLIPTINE VIATRIS 50 mg,comprimé,orale,,
VILDAGLIPTINE ZENTIVA 50 mg,comprimé,orale,,
VILDAGLIPTINE/METFORMINE ALTER 50 mg/1000 mg,comprimé,orale,,
VILDAGLIPTINE/METFORMINE ARROW 50 mg/1000 mg,comprimé pelliculé,orale,,
VILDAGLIPTINE/METFORMINE BIOGARAN 50 mg/1000 mg,comprimé pelliculé,orale,,
VILDAGLIPTINE/METFORMINE EG 50 mg/1000 mg,comprimé pelliculé,orale,,
VILDAGLIPTINE/METFORMINE SANDOZ 50 mg/1000 mg,comprimé pelliculé,orale,,
VILDAGLIPTINE/METFORMINE VIATRIS 50 mg/1000 mg comprimé pelliculé,orale,Autorisation active,,
VILDAGLIPTINE/METFORMINE ZENTIVA 50 mg/1000 mg,comprimé pelliculé,orale,,
VIMPAT 10 mg/ml,sirop,orale,,
VIMPAT 100 mg,comprimé pelliculé,orale,,
VIMPAT 150 mg,comprimé pelliculé,orale,,
VIMPAT 200 mg,comprimé pelliculé,orale,,
VIMPAT 50 mg,comprimé pelliculé,orale,,
VINCA MINOR BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VINCA MINOR LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VINCRISTINE HOSPIRA 2 mg/2 ml,solution injectable,intraveineuse,,
VINCRISTINE TEVA 1 mg/ml,solution injectable,intraveineuse,,
VINORELBINE ACCORD 10 mg/mL,solution à diluer pour perfusion,intraveineuse,,
VINORELBINE ARROW 10 mg/ml,solution à diluer pour perfusion,intraveineuse,,
VINORELBINE PIERRE FABRE 20 mg,capsule molle,orale,,
VINORELBINE PIERRE FABRE 30 mg,capsule molle,orale,,
VINORELBINE SANDOZ 20 mg,capsule molle,orale,,
VINORELBINE SANDOZ 30 mg,capsule molle,orale,,
VINTENE,solution injectable pour perfusion,intraveineuse,,
VIOLA ODORATA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIOLA TRICOLOR BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIOLA TRICOLOR LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIPERA REDI BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIPERA REDI LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIPERA TORVA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VIRGAN 1, gel ophtalmique,gel,,
VIROPHTA,lyophilisat et  solvant pour collyre,ophtalmique,,
VISCUM ALBUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VISCUM ALBUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VISCUM ALBUM WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
VISIPAQUE 270 mg d'I/mL,solution injectable,intra-utérine/intraarticulaire/intraartérielle/intrathécale/intraveineuse/orale/rectale,,
VISIPAQUE 320 mg d'I/mL,solution injectable,intraartérielle/intrathécale/intraveineuse/orale/rectale,,
VISKEN 5 mg,comprimé,orale,,
VISKEN QUINZE,comprimé sécable,orale,,
VISUDYNE 15 mg,poudre pour solution pour perfusion,intraveineuse,,
VITABACT 0, collyre,collyre,,
VITALIPIDE ADULTES,émulsion injectable pour perfusion,intraveineuse,,
VITALIPIDE ENFANTS,émulsion injectable pour perfusion,intraveineuse,,
VITALOGINK 40 mg,comprimé pelliculé,orale,,
VITAMINE A DULCIS 25 000 U.I. POUR 100 g,pommade,ophtalmique,,
VITAMINE A FAURE 150 000 U.l. POUR CENT,collyre en solution,ophtalmique,,
VITAMINE A PROVEPHARM 100 000 U.I./2 ml,solution injectable,intramusculaire,,
VITAMINE B 12 HORUS PHARMA 0, collyre en solution,collyre en solution,,
VITAMINE B1 ARROW CONSEIL 250 mg,comprimé pelliculé,orale,,
VITAMINE B1 B6 BAYER,comprimé pelliculé,orale,,
VITAMINE B12 CHAUVIN 0,4 ml, collyre en solution en récipient unidose,,
VITAMINE B12 DELAGRANGE 1000 microgrammes/2 ml,solution injectable et buvable,intramusculaire/orale,,
VITAMINE B12 GERDA 1000 µg/4 ml,solution injectable et buvable,intramusculaire/orale,,
VITAMINE B12 GERDA 250 microgrammes,comprimé sécable,orale,,
VITAMINE B12 HORUS PHARMA 0,4 ml, collyre en solution en récipient unidose,,
VITAMINE B12 THEA 0,2 mg/0,4 ml),,
VITAMINE B6 ARROW 250 mg,comprimé quadrisécable,orale,,
VITAMINE C ARROW 1 g,comprimé effervescent(e),orale,,
VITAMINE C PRODILAB 1000 mg,comprimé effervescent(e),orale,,
VITAMINE C UPSA 500 mg fruit exotique,comprimé à croquer,orale,,
VITAMINE C UPSA 500 mg,comprimé à croquer,orale,,
VITAMINE C UPSA EFFERVESCENTE 1000 mg,comprimé effervescent(e),orale,,
VITAMINE D3 BON 200 000 U.I./1 ml,solution injectable,intramusculaire,,
VITAMINE E PROVEPHARM 100 mg/2 ml,solution injectable,intramusculaire/intraveineuse,,
VITAMINE K1 CHEPLAPHARM 10 mg/1 ml,solution buvable et injectable,intramusculaire/intraveineuse/orale,,
VITAMINE K1 CHEPLAPHARM 2 mg/0, solution buvable et injectable,solution buvable et injectable,,
VITAMINE PP AGUETTANT 100 mg/2 ml,solution injectable,intramusculaire/intraveineuse,,
VITAMINE PP AGUETTANT 500 mg/5 mL,solution injectable,intramusculaire/intraveineuse,,
VITAROS 300 microgrammes,crème,urétrale,,
VITASCORBOL 1 g,comprimé effervescent(e),orale,,
VITASCORBOL SANS SUCRE TAMPONNE 500 mg,comprimé à croquer,orale,,
VITIS VINIFERA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
VITRAKVI 100 mg,gélule,orale,,
VITRAKVI 20 mg/ml,solution buvable,orale,,
VITRAKVI 25 mg,gélule,orale,,
VIVIANITE WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
VIZARSIN 100 mg,comprimé orodispersible,orale,,
VIZARSIN 25 mg,comprimé pelliculé,orale,,
VIZARSIN 50 mg,comprimé orodispersible,orale,,
VIZILATAN 50 microgrammes/mL,collyre en solution,ophtalmique,,
VIZITRAV 40 microgrammes/mL,collyre en solution,ophtalmique,,
VOCADYS,pâte à sucer,voie buccale autre,,
VOGALENE 0, solution buvable en flacon,solution buvable,,
VOGALENE 10 mg/1 ml,solution injectable,intramusculaire/intraveineuse,,
VOGALENE 15 mg,gélule,orale,,
VOGALENE 5 mg,suppositoire sécable,rectale,,
VOGALENE LYOC 7, lyophilisat oral,lyophilisat,,
VOGALIB 7, lyophilisat oral édulcoré à l'aspartam,lyophilisat,,
VOLIBRIS 10 mg,comprimé pelliculé,orale,,
VOLIBRIS 5 mg,comprimé pelliculé,orale,,
VOLTARENACTIGO 1 %,gel,cutanée,,
VOLTARENACTIGO 1 POUR CENT,gel,cutanée,,
VOLTARENACTIGO 2 % INTENSE,gel,cutanée,,
VOLTARENE 100 mg,suppositoire,rectale,,
VOLTARENE 25 mg,comprimé enrobé gastro-résistant(e),orale,,
VOLTARENE 50 mg,comprimé enrobé gastro-résistant(e),orale,,
VOLTARENE EMULGEL 1 %,gel,cutanée,,
VOLTARENE LP 100 mg,comprimé enrobé à libération prolongée,orale,,
VOLTARENE LP 75 mg,comprimé enrobé à libération prolongée,orale,,
VOLTARENOPHTA 0,3 mg/0,3 ml),,
VOLTARENOPHTABAK 1 mg/ml,collyre en solution,ophtalmique,,
VOLTARENPLAST 1 %,emplâtre médicamenteux(se),cutanée,,
VOLTARENSPE 1%,gel,cutanée,,
VOTRIENT 200 mg,comprimé pelliculé,orale,,
VOTRIENT 400 mg,comprimé pelliculé,orale,,
VOTUBIA 10 mg,comprimé,orale,,
VOTUBIA 2 mg,comprimé dispersible,orale,,
VOTUBIA 2, comprimé,comprimé,,
VOTUBIA 3 mg,comprimé dispersible,orale,,
VOTUBIA 5 mg,comprimé,orale,,
VOXPAX,comprimé à croquer,sublinguale,,
W 250,solution,orale/sublinguale,,
W 442,solution,orale,,
W146,orale/sublinguale,Autorisation active,,
W149,solution buvable en gouttes,orale,,
W164,orale/sublinguale,Autorisation active,,
W169,orale/sublinguale,Autorisation active,,
W171,orale/sublinguale,Autorisation active,,
W221,orale/sublinguale,Autorisation active,,
W244,orale/sublinguale,Autorisation active,,
W253,orale/sublinguale,Autorisation active,,
W270,orale/sublinguale,Autorisation active,,
W278,orale/sublinguale,Autorisation active,,
W282,orale/sublinguale,Autorisation active,,
W301,orale/sublinguale,Autorisation active,,
W306,orale,Autorisation active,,
W313,orale/sublinguale,Autorisation active,,
W314,orale/sublinguale,Autorisation active,,
W329,orale/sublinguale,Autorisation active,,
W344,orale/sublinguale,Autorisation active,,
W350,cutanée/orale/sublinguale,Autorisation active,,
W358,orale/sublinguale,Autorisation active,,
W366,orale/sublinguale,Autorisation active,,
W374,orale/sublinguale,Autorisation active,,
W390,orale/sublinguale,Autorisation active,,
W410,orale/sublinguale,Autorisation active,,
W418,orale/sublinguale,Autorisation active,,
W434,orale/sublinguale,Autorisation active,,
W436,orale/sublinguale,Autorisation active,,
W462,orale/sublinguale,Autorisation active,,
W464,orale/sublinguale,Autorisation active,,
W472,orale/sublinguale,Autorisation active,,
W518,orale/sublinguale,Autorisation active,,
W524,orale/sublinguale,Autorisation active,,
W538,orale/sublinguale,Autorisation active,,
W580,orale/sublinguale,Autorisation active,,
W582,orale/sublinguale,Autorisation active,,
W584,orale/sublinguale,Autorisation active,,
W586,orale/sublinguale,Autorisation active,,
W616,orale/sublinguale,Autorisation active,,
W642,orale/sublinguale,Autorisation active,,
W721,orale/sublinguale,Autorisation active,,
W724,orale/sublinguale,Autorisation active,,
W746,orale/sublinguale,Autorisation active,,
W770,orale/sublinguale,Autorisation active,,
W771,orale/sublinguale,Autorisation active,,
W776,orale/sublinguale,Autorisation active,,
W788,orale/sublinguale,Autorisation active,,
W796,orale/sublinguale,Autorisation active,,
W858,orale/sublinguale,Autorisation active,,
W876,orale/sublinguale,Autorisation active,,
W882,orale/sublinguale,Autorisation active,,
W904,orale/sublinguale,Autorisation active,,
W926,orale/sublinguale,Autorisation active,,
W932,orale/sublinguale,Autorisation active,,
W962,orale/sublinguale,Autorisation active,,
W964,orale/sublinguale,Autorisation active,,
WAYLIVRA 285 mg,solution injectable,sous-cutanée,,
WILZIN 25 mg,gélule,orale,,
WILZIN 50 mg,gélule,orale,,
WYSTAMM 10 mg,comprimé,orale,,
X PREP,poudre pour usage diagnostic,orale,,
XADAGO 100 mg,comprimé pelliculé,orale,,
XADAGO 50 mg,comprimé pelliculé,orale,,
XALACOM 50 microgrammes/mL + 5 mg/mL,collyre en solution,ophtalmique,,
XALATAN 50 microgrammes/ml,collyre en solution,ophtalmique,,
XALKORI 200 mg,gélule,orale,,
XALKORI 250 mg,gélule,orale,,
XALUPRINE 20 mg/ml,suspension,orale,,
XAMIOL 50 microgrammes/0, gel,gel,,
XANAX 0, comprimé sécable,comprimé sécable,,
XARELTO 1 mg/mL,granulés pour suspension buvable,orale,,
XARELTO 10 mg,comprimé pelliculé,orale,,
XARELTO 15 mg + 20 mg,comprimé pelliculé et  comprimé pelliculé,orale,,
XARELTO 15 mg,comprimé pelliculé,orale,,
XARELTO 20 mg,comprimé pelliculé,orale,,
XATRAL 2, comprimé pelliculé,comprimé pelliculé,,
XATRAL LP 10 mg,comprimé à libération prolongée,orale,,
XELEVIA 100 mg,comprimé pelliculé,orale,,
XELEVIA 50 mg,comprimé pelliculé,orale,,
XELODA 150 mg,comprimé pelliculé,orale,,
XELODA 500 mg,comprimé pelliculé,orale,,
XENAZINE 25 mg,comprimé sécable,orale,,
XENETIX 250 (250 mg d'iode/mL),solution injectable,intraartérielle/intracholangiopancréatique/intraveineuse,,
XENETIX 300 (300 mg d'Iode/mL),solution injectable,intra-utérine/intraarticulaire/intraartérielle/intracholangiopancréatique/intraveineuse,,
XENETIX 350 (350 mg d'Iode/mL),solution injectable,intraartérielle/intraveineuse,,
XENICAL 120 mg,gélule,orale,,
XENPOZYME 20 mg,poudre pour solution à diluer pour perfusion,intraveineuse,,
XEROQUEL LP 300 mg,comprimé à libération prolongée,orale,,
XEROQUEL LP 400 mg,comprimé à libération prolongée,orale,,
XEROQUEL LP 50 mg,comprimé à libération prolongée,orale,,
XIGDUO 5 mg/1000 mg,comprimé pelliculé,orale,,
XIMEPEG,poudre buvable buvable et  poudre buvable buvable,orale,,
XIOP 50 microgrammes/mL,collyre en solution,ophtalmique,,
XOLAAM,comprimé à croquer,orale,,
XONVEA 10 mg/10 mg,comprimé gastro-résistant(e),orale,,
XOSPATA 40 mg,comprimé pelliculé,orale,,
XULTOPHY 100 unités/ml + 3, solution injectable,solution injectable,,
XYBILUN 100 mg,film orodispersible,orale,,
XYBILUN 50 mg,film orodispersible,orale,,
XYBILUN 75 mg,film orodispersible,orale,,
XYLLOMAC 1 g,poudre pour solution injectable et pour perfusion,intramusculaire/intraveineuse,,
XYLLOMAC 2 g,poudre pour solution injectable et pour perfusion,intraveineuse,,
XYLLOMAC 500 mg,poudre pour solution injectable et pour perfusion,intramusculaire/intraveineuse,,
XYLOCAINE 10 mg/ml ADRENALINE 0, solution injectable,solution injectable,,
XYLOCAINE 10 mg/ml SANS CONSERVATEUR,solution injectable,infiltration/intraarticulaire/périarticulaire/péridurale/périneurale,,
XYLOCAINE 2 %,gel,urétrale,,
XYLOCAINE 20 mg/ml ADRENALINE 0, solution injectable,solution injectable,,
XYLOCAINE 20 mg/ml SANS CONSERVATEUR,solution injectable,infiltration/intraarticulaire/périarticulaire/péridurale/périneurale,,
XYLOCAINE 5 POUR CENT A LA NAPHAZOLINE,solution pour application,auriculaire/gingivale/nasale/voie buccale autre,,
XYLOCAINE 5 POUR CENT NEBULISEUR,solution pour pulvérisation,voie buccale autre,,
XYLOCAINE 5 mg/ml SANS CONSERVATEUR,solution injectable,infiltration/intraarticulaire/intraveineuse/périarticulaire/péridurale/périneurale,,
XYLOCAINE VISQUEUSE 2 POUR CENT,gel,orale,,
XYZALL 5 mg,comprimé pelliculé,orale,,
YAZ 0, comprimé pelliculé,comprimé pelliculé et  comprimé pelliculé pelliculé,,
YELLOX 0, collyre en solution,collyre en solution,,
YERBALAXA,plante(s) pour tisane,orale,,
YOCORAL 5 mg,comprimé,orale,,
YUCCA COMPLEXE N°110,solution buvable en gouttes,sublinguale,,
YUCCA FILAMENTOSA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
YUCCA FILAMENTOSA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZADITEN 1 mg,gélule,orale,,
ZADITEN 1 mg/5 ml,solution buvable,orale,,
ZADITEN L.P. 2 mg,comprimé pelliculé à libération prolongée,orale,,
ZAGRAPA 0, collyre en solution,collyre en solution,,
ZALASTA 10 mg,comprimé,orale,,
ZALASTA 5 mg,comprimé,orale,,
ZALASTA 7, comprimé,comprimé,,
ZALDIAR 37, comprimé pelliculé,comprimé pelliculé,,
ZALERG 0, collyre en solution,collyre en solution,,
ZAMUDOL LP 100 mg,gélule à libération prolongée,orale,,
ZAMUDOL LP 150 mg,gélule à libération prolongée,orale,,
ZAMUDOL LP 200 mg,gélule à libération prolongée,orale,,
ZAMUDOL LP 50 mg,gélule à libération prolongée,orale,,
ZANEA 10 mg/0, gel,gel,,
ZANEXTRA 20 mg/10 mg,comprimé pelliculé,orale,,
ZANEXTRA 20 mg/20 mg,comprimé pelliculé,orale,,
ZANIDIP 10 mg,comprimé pelliculé sécable,orale,,
ZANIDIP 20 mg,comprimé pelliculé,orale,,
ZARONTIN 250 mg/5 ml,sirop,orale,,
ZAVEDOS 10 mg,gélule,orale,,
ZAVEDOS 10 mg/10 ml,solution pour perfusion,intraveineuse,,
ZAVEDOS 20 mg/20 ml,solution pour perfusion,intraveineuse,,
ZAVEDOS 5 mg,gélule,orale,,
ZAVEDOS 5 mg/5 ml,solution pour perfusion,intraveineuse,,
ZEA MAIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZEBINIX 800 mg,comprimé,orale,,
ZECLAR 0, poudre pour solution à diluer pour perfusion,poudre pour solution à diluer pour perfusion,,
ZECLAR 25 mg/ml,granulés pour suspension buvable,orale,,
ZECLAR 250 mg,comprimé pelliculé,orale,,
ZECLAR 50 mg/ml,granulés pour suspension buvable,orale,,
ZECLAR 500 mg,comprimé pelliculé,orale,,
ZEJULA 100 mg,gélule,orale,,
ZELBORAF 240 mg,comprimé pelliculé,orale,,
ZELITREX 500 mg,comprimé pelliculé,orale,,
ZENALIA,comprimé,sublinguale,,
ZENTEL 0, suspension buvable,suspension buvable,,
ZENTEL 400 mg,comprimé,orale,,
ZERCEPAC 150 mg,poudre pour solution à diluer pour perfusion,intraveineuse,,
ZESTORETIC 20 mg/12, comprimé sécable,comprimé sécable,,
ZESTRIL 20 mg,comprimé,orale,,
ZESTRIL 5 mg,comprimé sécable,orale,,
ZINC INJECTABLE 1 mg/ml,solution à diluer pour perfusion,intraveineuse,,
ZINC OLIGOSOL,solution buvable,orale/sublinguale,,
ZINC-CUIVRE OLIGOSOL,solution buvable,orale/sublinguale,,
ZINC-NICKEL-COBALT OLIGOSOL,solution buvable,orale/sublinguale,,
ZINCUM METALLICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZINCUM METALLICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZINCUM METALLICUM WELEDA, solution et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZINCUM PHOSPHORICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZINCUM VALERIANICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZINCUM VALERIANICUM WELEDA, crème et solution et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZINDACLINE 1 %,gel,cutanée,,
ZINGIBER OFFICINALE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
ZINNAT 1, poudre pour solution pour perfusion,poudre pour solution pour perfusion,,
ZINNAT 125 mg,comprimé pelliculé,orale,,
ZINNAT 125 mg/5 ml ENFANTS ET NOURRISSONS,granulés pour suspension buvable,orale,,
